1.422047229493363707e+00,1.476807841730714221e+00,1.557161350587698001e+00
3.823213797483701715e+00,3.906866340410032556e+00,3.994936675838232976e+00
6.290510114237428674e+00,6.271185156604139443e+00,6.213368051023200778e+00
8.575778878352121382e+00,8.596517504409883159e+00,8.433698605123941761e+00
9.378813077649446939e+00,9.397450971045593349e+00,9.172974928576577369e+00
9.468686206013407158e+00,9.460552532785174051e+00,9.167280386973438056e+00
9.438773940855099909e+00,9.468130196165564172e+00,8.983670274009741163e+00
9.430371261283235995e+00,9.454691357238111493e+00,9.090716933069508343e+00
9.427345871694420509e+00,9.451775059709776272e+00,8.969464565745662199e+00
9.413517335481740744e+00,9.434140654908214074e+00,8.871258917538275668e+00
